title,baidu_link,baidu_pwd
《白火》[美]道格拉斯·普雷斯顿（作者）epub+mobi+azw3,https://pan.baidu.com/s/1vOqjLOGCr5VfmImvZZdPPw,8stm
《巴黎的鳞爪》徐志摩（作者）epub+mobi+azw3,https://pan.baidu.com/s/1_UeXmrk7DKLSro5Wz9fZcw,g5xr
《后工业社会的来临》[美]丹尼尔·贝尔（作者）epub+mobi+azw3,https://pan.baidu.com/s/1NtFT4AbQ9EoNMuYLh-ygrw,sbt7
kindle人全站资源分享-精品资源区51到60页,https://pan.baidu.com/s/1edLg78 ,4l7j
kindle人全站资源分享-自购区0-7,https://pan.baidu.com/s/1cZ1bqQ ,eqt4
kindle人全站资源分享-精品资源区61到78页,https://pan.baidu.com/s/1pMVTd7l ,mpiv
kindle人全站资源分享-自购区8-20,https://pan.baidu.com/s/1c3zLuXM ,o05l
《第七天（精制多看版）》余华（作者）epub+mobi,https://pan.baidu.com/s/1XXtjicTp5XFpalgswAl05A,lor9
《误读》[意]安伯托•艾柯（作者）epub+mobi+azw3,https://pan.baidu.com/s/1NDXVA7nGkHMC04uMbW3deg,xcm3
《罪瘾者》冷小张（作者）epub+mobi+azw3,https://pan.baidu.com/s/1tlMhEczzEDRvsdae5R-JGg  ,cgxv
《海上华亭（自制）》蓬莱客（作者）epub+mobi,https://pan.baidu.com/s/1PkOlwDYinf5z2tCNAB6xhw,sshx
kindle人全站资源分享-自购区21-40,http://pan.baidu.com/s/1kV51947,inq7
《南门脸(套装共2册)》雪屏（作者）epub+mobi+azw3,https://pan.baidu.com/s/1ZTcojTjR8mctUvErd895gQ,7c8k
《送你一颗子弹（精制多看版）》刘瑜（作者）epub+mobi,https://pan.baidu.com/s/1M0uNIj11Re2-c5ADi-RAyQ,pt8y
《汉密尔顿传》[美]罗恩·彻诺（作者）epub+mobi+azw3,https://pan.baidu.com/s/1_SvAfwSqPMYIJYgU_7oRQQ ,233z
《白狼公孙（自制）》一语破春风（作者）epub+mobi,https://pan.baidu.com/s/1f2zQ15Mt4qMbzwMHXJUxJQ  ,z0er
《软技能：代码之外的生存指南》[美]John Sonmez（作者）epub+mobi+azw3,https://pan.baidu.com/s/1FHnc-CUY8NftuYf1GRtNrw,r63h
《催眠二十八讲》[美]威廉姆·W.库克（作者）epub+mobi+azw3,https://pan.baidu.com/s/1ceG3l7_foOpwKeG6gmFniw,o74l
kindle人全站资源分享-自购区41-60,http://pan.baidu.com/s/1cLtaaE,n8vg
《魔鬼家书：地狱来鸿（精制多看版）》[英]C.S.路易斯（作者）epub+mobi,https://pan.baidu.com/s/1cMBnP4c7iHkkTLI8nyOrjA ,1zvg
《好人难寻》[美]弗兰纳里·奥康纳（作者）epub+mobi+azw3,https://pan.baidu.com/s/1ZUIZAOIikCwil-L4uBpINg,l5fu
《野棠如炽（自制）》和歌（作者）epub+mobi,https://pan.baidu.com/s/1YEes-Aj2_IOLRH9vGT1Njw,9jl5
《上面很安静》[荷]赫布兰德·巴克（作者）epub+mobi+azw3,https://pan.baidu.com/s/1CIQDM7k2Ve9y3GG_Hk5Fow,d0zl
《跨境人员、情报网络、封贡危机：万历朝鲜战争与16世纪末的东亚》郑洁西（作者）epub+mobi,https://pan.baidu.com/s/1CGdcvcwEVVPcYuQlBU3NmA,jxi6
《傲慢与偏见（精制多看版）》[英]简·奥斯丁（作者）epub+mobi,https://pan.baidu.com/s/1DDb1xsdcmn2i3fNZFUtvLg,d0oo
《认知升级》[美]理查德·尼斯贝特（作者）epub+mobi+azw3,https://pan.baidu.com/s/1cS1pdDUYY5BW7pVNP-mysA ,dsmg
